,Wq,Lq,rho,throughput
reg,0.018,0.128,0.367,7.168
exam1,0.367,1.522,0.704,4.148
exam2,0.165,0.496,0.51,3.01
consult1,2.321,8.204,0.901,3.53
consult2,0.849,3.07,0.827,3.614
pharma1,0.031,0.11,0.296,3.53
pharma2,0.047,0.168,0.351,3.614
