,Wq,Lq,rho,throughput
reg1,0.059,0.234,0.386,3.958
reg2,0.035,0.107,0.289,3.008
exam1,0.321,1.272,0.673,3.956
exam2,0.164,0.494,0.499,3.008
consult1,0.825,2.792,0.844,3.372
consult2,0.4,1.433,0.692,3.578
pharma1,0.034,0.116,0.283,3.372
pharma2,0.052,0.186,0.348,3.576
