,Wq,Lq,rho,throughput
reg,0.013,0.09,0.347,7.006
exam1,0.324,1.27,0.639,3.916
exam2,0.174,0.539,0.513,3.086
consult1,2.698,9.342,0.9,3.458
consult2,0.576,2.039,0.718,3.54
pharma1,0.03,0.105,0.287,3.458
pharma2,0.064,0.225,0.34,3.54
