,Wq,Lq,rho,throughput
reg,0.014,0.098,0.35,6.972
exam1,0.319,1.255,0.668,3.932
exam2,0.139,0.421,0.501,3.04
consult1,1.156,3.895,0.835,3.36
consult2,0.737,2.65,0.806,3.592
pharma1,0.028,0.095,0.278,3.36
pharma2,0.057,0.203,0.362,3.588
