,Wq,Lq,rho,throughput
reg1,0.066,0.263,0.4,3.997
reg2,0.044,0.133,0.302,3.019
exam1,0.324,1.295,0.665,3.996
exam2,0.17,0.512,0.501,3.019
consult1,0.136,0.477,0.582,3.508
consult2,0.379,1.328,0.696,3.507
pharma1,0.034,0.119,0.293,3.508
pharma2,0.055,0.193,0.35,3.507
