,Wq,Lq,rho,throughput
reg,0.015,0.107,0.351,7.064
exam1,0.266,1.075,0.665,4.028
exam2,0.176,0.534,0.514,3.03
consult1,1.618,6.007,0.873,3.516
consult2,0.565,1.956,0.784,3.46
pharma1,0.033,0.116,0.294,3.516
pharma2,0.053,0.182,0.342,3.46
