,Wq,Lq,rho,throughput
reg,0.014,0.102,0.357,7.079
exam1,0.333,1.362,0.679,4.081
exam2,0.169,0.505,0.511,2.989
consult1,1.346,4.805,0.887,3.555
consult2,0.787,2.755,0.809,3.493
pharma1,0.035,0.125,0.298,3.554
pharma2,0.055,0.192,0.346,3.493
