,Wq,Lq,rho,throughput
reg,0.014,0.097,0.355,7.072
exam1,0.314,1.254,0.669,3.976
exam2,0.181,0.558,0.512,3.08
consult1,0.061,0.21,0.43,3.438
consult2,0.036,0.132,0.4,3.614
pharma1,0.035,0.119,0.294,3.438
pharma2,0.064,0.232,0.38,3.612
