,Wq,Lq,rho,throughput
reg1,0.07,0.284,0.407,4.058
reg2,0.037,0.109,0.291,2.962
exam1,0.255,1.033,0.651,4.056
exam2,0.146,0.434,0.49,2.96
consult1,1.777,6.193,0.876,3.468
consult2,0.535,1.889,0.8,3.52
pharma1,0.035,0.121,0.294,3.468
pharma2,0.054,0.191,0.355,3.52
