,Wq,Lq,rho,throughput
reg1,0.065,0.259,0.402,3.996
reg2,0.044,0.131,0.303,3.005
exam1,0.309,1.233,0.661,3.996
exam2,0.163,0.489,0.499,3.005
consult1,1.606,5.632,0.878,3.507
consult2,0.775,2.707,0.793,3.493
pharma1,0.033,0.114,0.29,3.507
pharma2,0.054,0.188,0.35,3.493
