,Wq,Lq,rho,throughput
reg,0.013,0.088,0.345,6.97
exam1,0.316,1.264,0.654,3.988
exam2,0.17,0.504,0.523,2.97
consult1,0.985,3.354,0.838,3.392
consult2,0.44,1.557,0.708,3.538
pharma1,0.032,0.108,0.277,3.392
pharma2,0.057,0.201,0.353,3.536
