,Wq,Lq,rho,throughput
reg1,0.067,0.264,0.395,3.937
reg2,0.044,0.133,0.302,3.001
exam1,0.296,1.165,0.653,3.935
exam2,0.167,0.502,0.499,2.999
consult1,1.584,5.519,0.873,3.483
consult2,0.579,1.995,0.754,3.447
pharma1,0.033,0.116,0.293,3.481
pharma2,0.05,0.171,0.346,3.447
