,Wq,Lq,rho,throughput
reg1,0.068,0.265,0.378,3.878
reg2,0.044,0.131,0.296,2.972
exam1,0.413,1.602,0.673,3.876
exam2,0.158,0.471,0.475,2.972
consult1,1.023,3.469,0.859,3.392
consult2,0.646,2.246,0.781,3.422
pharma1,0.038,0.128,0.285,3.39
pharma2,0.046,0.157,0.341,3.42
