,Wq,Lq,rho,throughput
reg,0.012,0.086,0.34,6.986
exam1,0.283,1.095,0.658,3.876
exam2,0.167,0.518,0.514,3.104
consult1,1.495,5.171,0.874,3.458
consult2,0.784,2.76,0.777,3.518
pharma1,0.037,0.128,0.303,3.458
pharma2,0.063,0.22,0.364,3.516
