,Wq,Lq,rho,throughput
reg1,0.071,0.286,0.414,4.024
reg2,0.037,0.113,0.299,3.008
exam1,0.355,1.429,0.658,4.022
exam2,0.166,0.5,0.503,3.008
consult1,0.085,0.305,0.484,3.592
consult2,0.027,0.091,0.371,3.432
pharma1,0.036,0.128,0.293,3.592
pharma2,0.051,0.174,0.358,3.432
