,Wq,Lq,rho,throughput
reg1,0.064,0.259,0.399,4.02
reg2,0.045,0.135,0.302,2.989
exam1,0.328,1.319,0.665,4.02
exam2,0.161,0.482,0.494,2.989
consult1,1.677,5.873,0.878,3.502
consult2,0.716,2.512,0.788,3.505
pharma1,0.035,0.124,0.292,3.502
pharma2,0.052,0.183,0.35,3.505
