,Wq,Lq,rho,throughput
reg,0.017,0.124,0.373,7.386
exam1,0.414,1.727,0.705,4.164
exam2,0.155,0.498,0.524,3.214
consult1,0.065,0.244,0.46,3.726
consult2,0.045,0.165,0.416,3.652
pharma1,0.037,0.138,0.297,3.726
pharma2,0.052,0.189,0.358,3.65
