,Wq,Lq,rho,throughput
reg1,0.072,0.291,0.408,4.044
reg2,0.048,0.151,0.319,3.118
exam1,0.29,1.173,0.648,4.042
exam2,0.203,0.634,0.525,3.117
consult1,1.807,6.436,0.888,3.559
consult2,1.033,3.716,0.814,3.595
pharma1,0.032,0.116,0.292,3.558
pharma2,0.056,0.203,0.365,3.595
