,Wq,Lq,rho,throughput
reg1,0.066,0.265,0.401,3.997
reg2,0.044,0.131,0.3,2.998
exam1,0.335,1.338,0.67,3.997
exam2,0.168,0.505,0.497,2.998
consult1,0.132,0.461,0.585,3.489
consult2,0.372,1.305,0.695,3.505
pharma1,0.034,0.119,0.292,3.489
pharma2,0.052,0.183,0.35,3.505
