,Wq,Lq,rho,throughput
reg,0.017,0.115,0.356,6.958
exam1,0.328,1.306,0.645,3.978
exam2,0.177,0.526,0.504,2.972
consult1,1.444,5.124,0.857,3.348
consult2,0.764,2.739,0.786,3.488
pharma1,0.026,0.088,0.272,3.348
pharma2,0.051,0.177,0.35,3.488
