,Wq,Lq,rho,throughput
reg,0.012,0.087,0.348,7.02
exam1,0.424,1.737,0.691,4.094
exam2,0.139,0.407,0.477,2.922
consult1,1.704,6.045,0.884,3.528
consult2,0.342,1.185,0.706,3.46
pharma1,0.036,0.128,0.297,3.528
pharma2,0.055,0.191,0.345,3.46
