,Wq,Lq,rho,throughput
reg1,0.056,0.219,0.387,3.9
reg2,0.038,0.114,0.295,3.022
exam1,0.311,1.214,0.622,3.896
exam2,0.151,0.455,0.484,3.02
consult1,1.032,3.544,0.832,3.36
consult2,0.559,1.968,0.754,3.52
pharma1,0.032,0.109,0.277,3.36
pharma2,0.057,0.202,0.364,3.52
