,Wq,Lq,rho,throughput
reg,0.014,0.098,0.352,7.04
exam1,0.383,1.573,0.708,4.098
exam2,0.139,0.408,0.478,2.922
consult1,1.311,4.608,0.86,3.504
consult2,0.342,1.199,0.699,3.502
pharma1,0.032,0.111,0.292,3.502
pharma2,0.05,0.174,0.339,3.502
