,Wq,Lq,rho,throughput
reg1,0.067,0.26,0.397,3.883
reg2,0.045,0.135,0.297,3.02
exam1,0.361,1.402,0.654,3.878
exam2,0.194,0.585,0.527,3.019
consult1,1.45,5.114,0.882,3.52
consult2,0.806,2.717,0.774,3.368
pharma1,0.033,0.116,0.293,3.52
pharma2,0.053,0.179,0.345,3.367
